iter	RMSE
0	0.3879737672
1	0.3769182153
2	0.3653191985
3	0.354668589
4	0.3462479082
5	0.33694632
6	0.3290696973
7	0.3206711552
8	0.3127726562
9	0.3059776813
10	0.2983515756
11	0.2915318335
12	0.2856937278
13	0.2790167218
14	0.2733374663
15	0.2676335598
16	0.2621243876
17	0.257200026
18	0.2522861649
19	0.2484696692
20	0.244354254
21	0.2401468793
22	0.2363859261
23	0.2324911827
24	0.2285990694
25	0.2248122393
26	0.22151186
27	0.2182399139
28	0.21554803
29	0.2120049888
30	0.2086525004
31	0.2059598415
32	0.2032604004
33	0.2005681182
34	0.1978077625
35	0.195454045
36	0.193042273
37	0.1907157737
38	0.1888558462
39	0.18685783
40	0.1847849732
41	0.1833161275
42	0.1815263297
43	0.179514666
44	0.1780815179
45	0.1763382858
46	0.1748102253
47	0.1731943661
48	0.1716882606
49	0.1703569934
50	0.1689687117
51	0.1675858159
52	0.166460432
53	0.1650366699
54	0.1638921527
55	0.1627648913
56	0.161654647
57	0.1607741285
58	0.1598663666
59	0.1589285037
60	0.1578397498
61	0.1570143495
62	0.1560150909
63	0.1552410086
64	0.1544136381
65	0.1534924646
66	0.152772899
67	0.1519463166
68	0.1511237394
69	0.1504869559
70	0.1498157649
71	0.1489984264
72	0.148311433
73	0.1475361542
74	0.146871499
75	0.1461760253
76	0.1455617645
77	0.1450159355
78	0.1445044651
79	0.1439183869
80	0.1433144892
81	0.1427543079
82	0.1421855126
83	0.1417279972
84	0.1411584091
85	0.1406693654
86	0.1402636527
87	0.1397519544
88	0.139448066
89	0.1390540754
90	0.1386249085
91	0.1382722015
92	0.1379184577
93	0.137349093
94	0.1369433638
95	0.136495928
96	0.1361367068
97	0.1357588691
98	0.1351960183
99	0.1348161771
100	0.1344686053
101	0.1341482711
102	0.133708105
103	0.1333023634
104	0.1329081611
105	0.1323727831
106	0.131947619
107	0.1315673835
108	0.1311718074
109	0.1308375179
110	0.130578455
111	0.1301723223
112	0.1299816236
113	0.129643405
114	0.1293233813
115	0.1290133773
116	0.1287291172
117	0.128437498
118	0.1281772629
119	0.1277873575
120	0.1275155663
121	0.1272964943
122	0.1269733966
123	0.1267148542
124	0.1263503242
125	0.1258698623
126	0.1256082489
127	0.1252502188
128	0.124917643
129	0.1245479508
130	0.124272726
131	0.1239757688
132	0.1237243035
133	0.123590621
134	0.1233193581
135	0.1231378763
136	0.1229396294
137	0.1226961404
138	0.1224031686
139	0.1222458658
140	0.1220219139
141	0.12177583
142	0.1216073384
143	0.1213832086
144	0.1209360181
145	0.1207529501
146	0.1205725364
147	0.1204050459
148	0.1202745882
149	0.1200594315
150	0.1199303359
151	0.1198036492
152	0.1196421585
153	0.1195596916
154	0.1194268961
155	0.1190660725
156	0.1190046527
157	0.1189327673
158	0.1187450029
159	0.118639747
160	0.1184258413
161	0.1182692146
162	0.118002665
163	0.1179091368
164	0.1176150195
165	0.1174661443
166	0.1172274512
167	0.1169878599
168	0.1167913038
169	0.1165632704
170	0.1163759926
171	0.1162648101
172	0.1159927449
173	0.1158289045
174	0.1156197662
175	0.115480552
176	0.1153369257
177	0.1152366159
178	0.1151686957
179	0.1151118221
