iter	Passed	Remaining
0	189	94623
1	196	49043
2	200	33167
3	203	25254
4	209	20697
5	214	17639
6	220	15553
7	223	13772
8	227	12408
9	231	11335
10	236	10503
11	241	9822
12	246	9232
13	253	8783
14	259	8383
15	269	8141
16	272	7747
17	277	7443
18	284	7196
19	289	6958
20	296	6762
21	301	6560
22	305	6340
23	312	6192
24	317	6031
25	323	5902
26	331	5801
27	336	5677
28	342	5562
29	348	5464
30	354	5356
31	357	5230
32	363	5137
33	368	5052
34	373	4968
35	377	4860
36	382	4780
37	386	4703
38	390	4611
39	395	4542
40	400	4479
41	405	4417
42	408	4337
43	413	4286
44	417	4224
45	420	4148
46	424	4091
47	427	4024
48	430	3963
49	433	3903
50	439	3866
51	442	3811
52	445	3753
53	448	3701
54	450	3648
55	453	3597
56	457	3551
57	459	3502
58	462	3460
59	465	3414
60	469	3377
61	471	3333
62	474	3294
63	477	3252
64	480	3216
65	483	3180
66	487	3149
67	489	3110
68	492	3076
69	495	3043
70	497	3008
71	500	2976
72	503	2943
73	507	2920
74	509	2887
75	514	2869
76	519	2851
77	522	2827
78	527	2811
79	530	2785
80	533	2761
81	538	2743
82	542	2723
83	546	2704
84	549	2681
85	552	2661
86	558	2651
87	561	2627
88	564	2608
89	567	2584
90	571	2568
91	573	2545
92	577	2528
93	580	2505
94	583	2489
95	587	2472
96	591	2456
97	593	2435
98	597	2421
99	601	2404
100	604	2388
101	607	2369
102	611	2356
103	616	2347
104	620	2334
105	623	2319
106	627	2303
107	646	2345
108	650	2332
109	652	2314
110	656	2301
111	660	2286
112	663	2273
113	667	2261
114	671	2247
115	675	2237
116	679	2224
117	682	2210
118	685	2195
119	690	2187
120	693	2172
121	696	2157
122	698	2141
123	702	2128
124	707	2123
125	710	2109
126	714	2098
127	717	2085
128	721	2073
129	726	2067
130	730	2057
131	733	2044
132	737	2033
133	741	2026
134	747	2021
135	753	2017
136	759	2011
137	764	2005
138	769	1999
139	774	1990
140	780	1985
141	783	1975
142	786	1964
143	791	1955
144	794	1944
145	798	1935
146	801	1924
147	805	1915
148	809	1907
149	814	1899
150	818	1891
151	824	1887
152	830	1882
153	834	1875
154	839	1868
155	845	1865
156	850	1858
157	858	1857
158	861	1846
159	864	1836
160	866	1824
161	870	1815
162	872	1804
163	875	1793
164	879	1784
165	883	1777
166	885	1766
167	889	1757
168	891	1746
169	896	1739
170	898	1729
171	902	1721
172	908	1718
173	914	1712
174	916	1702
175	921	1697
176	925	1689
177	928	1679
178	933	1674
179	936	1665
180	940	1658
181	943	1648
182	946	1640
183	949	1630
184	952	1622
185	956	1615
186	959	1606
187	963	1599
188	966	1590
189	970	1583
190	972	1573
191	977	1567
192	980	1559
193	984	1552
194	986	1543
195	991	1538
196	998	1535
197	1003	1530
198	1006	1522
199	1009	1514
200	1012	1506
201	1015	1498
202	1018	1490
203	1023	1484
204	1027	1477
205	1030	1470
206	1032	1461
207	1036	1454
208	1038	1446
209	1042	1439
210	1044	1430
211	1047	1422
212	1049	1414
213	1052	1406
214	1056	1400
215	1060	1393
216	1063	1386
217	1066	1380
218	1070	1373
219	1074	1367
220	1076	1359
221	1080	1353
222	1083	1346
223	1087	1339
224	1089	1331
225	1092	1324
226	1095	1317
227	1099	1311
228	1101	1304
229	1104	1296
230	1107	1289
231	1110	1282
232	1113	1275
233	1115	1268
234	1119	1262
235	1122	1255
236	1126	1250
237	1129	1242
238	1132	1236
239	1134	1229
240	1138	1223
241	1141	1216
242	1143	1209
243	1146	1202
244	1148	1195
245	1151	1189
246	1154	1182
247	1161	1179
248	1166	1175
249	1168	1168
250	1172	1163
251	1175	1156
252	1179	1151
253	1181	1144
254	1185	1138
255	1187	1132
256	1192	1127
257	1197	1123
258	1200	1117
259	1204	1111
260	1206	1104
261	1210	1099
262	1212	1093
263	1217	1088
264	1219	1081
265	1223	1076
266	1226	1070
267	1230	1065
268	1233	1059
269	1236	1053
270	1239	1047
271	1243	1042
272	1250	1039
273	1255	1035
274	1258	1029
275	1263	1025
276	1269	1021
277	1271	1015
278	1276	1011
279	1279	1005
280	1284	1001
281	1288	996
282	1292	990
283	1296	986
284	1299	980
285	1302	974
286	1307	970
287	1310	964
288	1314	959
289	1317	953
290	1320	948
291	1323	942
292	1327	937
293	1330	932
294	1336	928
295	1342	925
296	1346	920
297	1355	918
298	1360	914
299	1363	909
300	1370	906
301	1376	902
302	1381	897
303	1383	892
304	1388	887
305	1392	882
306	1396	878
307	1401	873
308	1405	868
309	1411	865
310	1414	859
311	1419	855
312	1422	849
313	1426	845
314	1430	840
